Gianluca Occhino,Male,26,169 cm,82 kg,2:56,--,--,--,--,--,21:00,112,93,200,--,--
Jonas Mueller,Male,25,169 cm,78 kg,2:09,6:55,1:20,14:18,442,0:55,17:30,145,115,230,190,71
Mitchell Adams,Male,25,167 cm,81 kg,2:17,7:46,1:51,--,--,0:59,--,133,110,215,195,56
Anže Benko,Male,25,175 cm,189 lb,2:28,--,--,--,--,--,--,125,93,200,175,--
Milosz Staworzynski,Male,29,179 cm,83 kg,2:49,--,2:05,--,--,--,--,130,100,200,170,--
Severin Irimia,Male,28,182 cm,88 kg,2:43,--,--,--,--,--,21:04,140,105,215,165,50
Andrea Barbotti,Male,27,174 cm,82 kg,2:20,--,2:25,--,422,--,--,142,113,210,185,40
Hinrik Ingi Óskarsson,Male,22,184 cm,200 lb,--,--,--,--,--,--,--,151,127,233,195,--
Steven Fawcett,Male,28,173 cm,180 lb,2:11,6:50,1:40,0:00,--,0:00,19:00,156,120,202,200,65
Phil Hesketh,Male,26,180 cm,206 lb,2:14,8:00,1:41,0:00,--,1:08,0:00,325,285,240,220,50
Rob Forte,Male,30,174 cm,89 kg,2:12,7:01,1:16,16:41,517,0:59,19:30,325,270,513,418,53
James Newbury,Male,25,177 cm,87 kg,2:08,6:59,1:26,0:00,369,0:53,18:44,145,120,242,200,85
Khan Porter,Male,27,182 cm,205 lb,2:04,--,1:10,16:40,468,--,--,160,131,242,190,70
Zeke Grove,Male,24,169 cm,176 lb,2:00,7:13,1:15,--,--,--,--,145,113,210,180,66
Mitchell Sinnamon,Male,26,172 cm,90 kg,--,--,--,--,--,--,--,--,--,--,--,--
Ricky Garard,Male,22,179 cm,190 lb,2:18,7:14,1:28,0:00,490,0:51,17:32,146,110,220,180,63
Kevin Manuel,Male,30,187 cm,92 kg,2:16,--,1:46,--,412,--,--,160,130,240,205,55
Tom Lengyel,Male,25,169 cm,164 lb,2:06,20:00,10:00,--,--,5:00,--,137,116,200,175,60
